bin_low_edge,contents,binerror,xtitle,binlabel
-0.5,0.0,0.0,,
0.5,5.0,2.23606797749979,,IGHV1-18*04
1.5,5.0,2.23606797749979,,IGHV1-2*04
2.5,1.0,1.0,,IGHV1-46*02
3.5,7.0,2.6457513110645907,,IGHV1-69D*01
4.5,15.0,3.872983346207417,,IGHV3-23D*01
5.5,8.0,2.8284271247461903,,IGHV3-53*02
6.5,13.0,3.605551275463989,,IGHV3-64*04
7.5,5.0,2.23606797749979,,IGHV3-64*05
8.5,5.0,2.23606797749979,,IGHV3-66*03
9.5,17.0,4.123105625617661,,IGHV3-7*01
10.5,7.0,2.6457513110645907,,IGHV3-7*02
11.5,8.0,2.8284271247461903,,IGHV3-7*03
12.5,3.0,1.7320508075688772,,IGHV3-9*03
13.5,23.0,4.795831523312719,,IGHV3-NL1*01
14.5,5.0,2.23606797749979,,IGHV4-61*02
15.5,3.0,1.7320508075688772,,IGHV4-61*08
16.5,3.0,1.7320508075688772,,IGHV4/OR15-8*03
17.5,0.0,0.0,,
